part,layer,timestep,level,lambda,vs,mse,rmse,rel_rmse,cosine_global,cosine_row_mean,cosine_row_median,cosine_row_p05,cosine_row_min,max_abs_err,skip_rate,force_keep_count,dropped_mass_mean,dropped_mass_p95,dropped_mass_max
wan21_p1,layer_0,timestep_0,bf16_ref,,ground_truth,1.1219418638575007e-06,0.0010592175715392475,0.0024277244228869677,0.9999967813491821,0.9999976754188538,0.9999976754188538,0.9999958276748657,0.9999840259552002,0.03769111633300781,,,,,
wan21_p1,layer_0,timestep_0,fp8_qkv,,ground_truth,0.0021782738622277975,0.04667198155454509,0.10697208344936371,0.994283139705658,0.9977798461914062,0.9995599389076233,0.9902456402778625,0.7344341278076172,2.1184303760528564,,,,,
wan21_p1,layer_0,timestep_0,fp8_static_p,,ground_truth,0.002208384685218334,0.04699345364216525,0.1077089011669159,0.9942026138305664,0.9977333545684814,0.9995529651641846,0.9900555610656738,0.7367330193519592,2.1340222358703613,,,,,
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.0,ground_truth,0.002208384685218334,0.04699345364216525,0.1077089011669159,0.9942026138305664,0.9977333545684814,0.9995529651641846,0.9900555610656738,0.7367330193519592,2.1340222358703613,0.0,0,0.0,0.0,0.0
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.0,no_skip_fp8,0.0,0.0,0.0,0.9999998807907104,1.0,1.0,0.9999998807907104,0.9999995231628418,0.0,0.0,,,,
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.001,ground_truth,0.0022104927338659763,0.047015877465660216,0.10776029527187347,0.9942017197608948,0.9977328181266785,0.9995530843734741,0.9900521636009216,0.7367233037948608,2.1338307857513428,0.17505898491083677,0,0.00039825268322601914,0.002046411857008934,0.02961888536810875
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.001,no_skip_fp8,2.7805188551610627e-07,0.0005273062540081488,0.0012079345760867,0.9999995231628418,0.9999998211860657,1.0,0.9999993443489075,0.9998740553855896,0.04167032241821289,0.17505898491083677,,,,
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.003,ground_truth,0.0022150850854814053,0.04706469043222748,0.10787218064069748,0.9941980838775635,0.9977313876152039,0.999552845954895,0.9900470972061157,0.7366818189620972,2.133664608001709,0.21910665294924553,0,0.001023025601170957,0.004902403801679611,0.05175763741135597
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.003,no_skip_fp8,1.910332684929017e-06,0.0013821478520509363,0.0031661754474043846,0.9999964237213135,0.9999987483024597,0.9999999403953552,0.9999938607215881,0.9995785355567932,0.1154031753540039,0.21910665294924553,,,,
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.01,ground_truth,0.0022406650241464376,0.047335663343259886,0.10849324613809586,0.9941675662994385,0.997713029384613,0.9995453953742981,0.9899788498878479,0.7363266944885254,2.133274555206299,0.2789314986282579,0,0.0034970452543348074,0.015414325520396233,0.09040891379117966
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.01,no_skip_fp8,1.6818476069602184e-05,0.00410103353675658,0.009394502267241478,0.9999707341194153,0.9999793171882629,0.9999998807907104,0.9998959898948669,0.9971543550491333,0.27222323417663574,0.2789314986282579,,,,
